%Time(s);X-Position (X[2]);Y-Position (X[1]);Input U
1.42000000e+00;1.74004567e-02;1.14510099e-02;8.78469317e-01
1.43000000e+00;1.75144304e-02;1.13770517e-02;8.79188141e-01
1.44000000e+00;1.76276588e-02;1.13013844e-02;8.79900976e-01
1.45000000e+00;1.77401250e-02;1.12239988e-02;8.80607903e-01
1.46000000e+00;1.78518116e-02;1.11448857e-02;8.81309002e-01
1.47000000e+00;1.79627014e-02;1.10640360e-02;8.82004350e-01
1.48000000e+00;1.80727771e-02;1.09814406e-02;8.82694026e-01
1.49000000e+00;1.81820212e-02;1.08970907e-02;8.83378102e-01
1.50000000e+00;1.82904161e-02;1.08109773e-02;8.84056654e-01
1.51000000e+00;1.83979442e-02;1.07230916e-02;8.84729753e-01
1.52000000e+00;1.85045878e-02;1.06334250e-02;8.85397470e-01
1.53000000e+00;1.86103291e-02;1.05419689e-02;8.86059874e-01
1.54000000e+00;1.87151501e-02;1.04487147e-02;8.86717034e-01
1.55000000e+00;1.88190330e-02;1.03536540e-02;8.87369015e-01
1.56000000e+00;1.89219596e-02;1.02567785e-02;8.88015884e-01
1.57000000e+00;1.90239117e-02;1.01580798e-02;8.88657705e-01
1.58000000e+00;1.91248713e-02;1.00575500e-02;8.89294541e-01
1.59000000e+00;1.92248198e-02;9.95518086e-03;8.89926454e-01
1.60000000e+00;1.93237391e-02;9.85096449e-03;8.90553505e-01
1.61000000e+00;1.94216105e-02;9.74489303e-03;8.91175753e-01
1.62000000e+00;1.95184156e-02;9.63695872e-03;8.91793257e-01
1.63000000e+00;1.96141356e-02;9.52715391e-03;8.92406075e-01
1.64000000e+00;1.97087521e-02;9.41547107e-03;8.93014263e-01
1.65000000e+00;1.98022460e-02;9.30190274e-03;8.93617876e-01
1.66000000e+00;1.98945987e-02;9.18644161e-03;8.94216970e-01
1.67000000e+00;1.99857911e-02;9.06908046e-03;8.94811597e-01
1.68000000e+00;2.00758044e-02;8.94981217e-03;8.95401811e-01
1.69000000e+00;2.01646193e-02;8.82862976e-03;8.95987663e-01
1.70000000e+00;2.02522169e-02;8.70552634e-03;8.96569204e-01
1.71000000e+00;2.03385778e-02;8.58049515e-03;8.97146484e-01
1.72000000e+00;2.04236829e-02;8.45352955e-03;8.97719552e-01
1.73000000e+00;2.05075128e-02;8.32462302e-03;8.98288456e-01
1.74000000e+00;2.05900480e-02;8.19376916e-03;8.98853244e-01
1.75000000e+00;2.06712692e-02;8.06096169e-03;8.99413963e-01
1.76000000e+00;2.07511569e-02;7.92619447e-03;8.99970658e-01
1.77000000e+00;2.08296913e-02;7.78946146e-03;9.00523375e-01
1.78000000e+00;2.09068530e-02;7.65075677e-03;9.01072158e-01
1.79000000e+00;2.09826221e-02;7.51007465e-03;9.01617050e-01
1.80000000e+00;2.10569790e-02;7.36740946e-03;9.02158095e-01
1.81000000e+00;2.11299037e-02;7.22275570e-03;9.02695335e-01
1.82000000e+00;2.12013766e-02;7.07610803e-03;9.03228811e-01
1.83000000e+00;2.12713775e-02;6.92746122e-03;9.03758564e-01
1.84000000e+00;2.13398866e-02;6.77681018e-03;9.04284635e-01
1.85000000e+00;2.14068838e-02;6.62414998e-03;9.04807063e-01
1.86000000e+00;2.14723491e-02;6.46947583e-03;9.05325887e-01
1.87000000e+00;2.15362623e-02;6.31278308e-03;9.05841145e-01
1.88000000e+00;2.15986033e-02;6.15406722e-03;9.06352876e-01
1.89000000e+00;2.16593519e-02;5.99332391e-03;9.06861116e-01
1.90000000e+00;2.17184878e-02;5.83054893e-03;9.07365903e-01
1.91000000e+00;2.17759907e-02;5.66573825e-03;9.07867271e-01
1.92000000e+00;2.18318403e-02;5.49888797e-03;9.08365257e-01
1.93000000e+00;2.18860162e-02;5.32999434e-03;9.08859895e-01
1.94000000e+00;2.19384980e-02;5.15905381e-03;9.09351220e-01
1.95000000e+00;2.19892653e-02;4.98606293e-03;9.09839267e-01
1.96000000e+00;2.20382976e-02;4.81101847e-03;9.10324067e-01
1.97000000e+00;2.20855743e-02;4.63391732e-03;9.10805655e-01
1.98000000e+00;2.21310750e-02;4.45475656e-03;9.11284062e-01
1.99000000e+00;2.21747791e-02;4.27353344e-03;9.11759320e-01
2.00000000e+00;2.22166660e-02;4.09024535e-03;9.12231462e-01
2.01000000e+00;2.22567150e-02;3.90488990e-03;9.12700517e-01
2.02000000e+00;2.22949056e-02;3.71746482e-03;9.13166517e-01
2.03000000e+00;2.23312170e-02;3.52796807e-03;9.13629491e-01
2.04000000e+00;2.23656287e-02;3.33639773e-03;9.14089469e-01
2.05000000e+00;2.23981198e-02;3.14275211e-03;9.14546481e-01
2.06000000e+00;2.24286696e-02;2.94702966e-03;9.15000555e-01
2.07000000e+00;2.24572575e-02;2.74922905e-03;9.15451720e-01
2.08000000e+00;2.24838626e-02;2.54934911e-03;9.15900004e-01
2.09000000e+00;2.25084643e-02;2.34738887e-03;9.16345433e-01
2.10000000e+00;2.25310418e-02;2.14334752e-03;9.16788037e-01
2.11000000e+00;2.25515742e-02;1.93722449e-03;9.17227840e-01
2.12000000e+00;2.25700409e-02;1.72901936e-03;9.17664870e-01
2.13000000e+00;2.25864210e-02;1.51873193e-03;9.18099154e-01
2.14000000e+00;2.26006937e-02;1.30636217e-03;9.18530716e-01
2.15000000e+00;2.26128383e-02;1.09191027e-03;9.18959582e-01
2.16000000e+00;2.26228340e-02;8.75376625e-04;9.19385777e-01
2.17000000e+00;2.26306600e-02;6.56761810e-04;9.19809326e-01
2.18000000e+00;2.26362956e-02;4.36066617e-04;9.20230253e-01
2.19000000e+00;2.26397199e-02;2.13292043e-04;9.20648582e-01
2.20000000e+00;2.26409123e-02;-1.15607102e-05;9.21064338e-01
2.21000000e+00;2.26398521e-02;-2.38490229e-04;9.21477542e-01
2.22000000e+00;2.26365184e-02;-4.67494889e-04;9.21888219e-01
2.23000000e+00;2.26308906e-02;-6.98572852e-04;9.22296391e-01
2.24000000e+00;2.26229480e-02;-9.31722066e-04;9.22702081e-01
2.25000000e+00;2.26126699e-02;-1.16694026e-03;9.23105311e-01
2.26000000e+00;2.26000358e-02;-1.40422494e-03;9.23506103e-01
2.27000000e+00;2.25850250e-02;-1.64357341e-03;9.23904478e-01
2.28000000e+00;2.25676168e-02;-1.88498272e-03;9.24300457e-01
2.29000000e+00;2.25477908e-02;-2.12844972e-03;9.24694063e-01
2.30000000e+00;2.25255265e-02;-2.37397102e-03;9.25085315e-01
2.31000000e+00;2.25008033e-02;-2.62154302e-03;9.25474234e-01
2.32000000e+00;2.24736008e-02;-2.87116186e-03;9.25860841e-01
2.33000000e+00;2.24438986e-02;-3.12282346e-03;9.26245155e-01
2.34000000e+00;2.24116763e-02;-3.37652353e-03;9.26627196e-01
2.35000000e+00;2.23769136e-02;-3.63225751e-03;9.27006984e-01
2.36000000e+00;2.23395902e-02;-3.89002062e-03;9.27384537e-01
2.37000000e+00;2.22996859e-02;-4.14980783e-03;9.27759876e-01
2.38000000e+00;2.22571805e-02;-4.41161388e-03;9.28133018e-01
2.39000000e+00;2.22120538e-02;-4.67543325e-03;9.28503982e-01
2.40000000e+00;2.21642859e-02;-4.94126020e-03;9.28872787e-01
2.41000000e+00;2.21138567e-02;-5.20908871e-03;9.29239451e-01
2.42000000e+00;2.20607463e-02;-5.47891253e-03;9.29603991e-01
2.43000000e+00;2.20049347e-02;-5.75072517e-03;9.29966426e-01
2.44000000e+00;2.19464021e-02;-6.02451986e-03;9.30326772e-01
2.45000000e+00;2.18851289e-02;-6.30028959e-03;9.30685047e-01
2.46000000e+00;2.18210952e-02;-6.57802710e-03;9.31041268e-01
2.47000000e+00;2.17542816e-02;-6.85772487e-03;9.31395452e-01
2.48000000e+00;2.16846684e-02;-7.13937509e-03;9.31747614e-01
2.49000000e+00;2.16122363e-02;-7.42296973e-03;9.32097773e-01
2.50000000e+00;2.15369658e-02;-7.70850047e-03;9.32445944e-01
2.51000000e+00;2.14588376e-02;-7.99595873e-03;9.32792143e-01
2.52000000e+00;2.13778327e-02;-8.28533568e-03;9.33136386e-01
2.53000000e+00;2.12939317e-02;-8.57662218e-03;9.33478688e-01
2.54000000e+00;2.12071159e-02;-8.86980886e-03;9.33819065e-01
2.55000000e+00;2.11173661e-02;-9.16488606e-03;9.34157533e-01
2.56000000e+00;2.10246636e-02;-9.46184384e-03;9.34494106e-01
2.57000000e+00;2.09289897e-02;-9.76067200e-03;9.34828800e-01
2.58000000e+00;2.08303257e-02;-1.00613600e-02;9.35161628e-01
2.59000000e+00;2.07286531e-02;-1.03638972e-02;9.35492607e-01
2.60000000e+00;2.06239536e-02;-1.06682724e-02;9.35821750e-01
2.61000000e+00;2.05162087e-02;-1.09744744e-02;9.36149071e-01
2.62000000e+00;2.04054004e-02;-1.12824914e-02;9.36474585e-01
2.63000000e+00;2.02915106e-02;-1.15923117e-02;9.36798306e-01
2.64000000e+00;2.01745213e-02;-1.19039230e-02;9.37120247e-01
2.65000000e+00;2.00544146e-02;-1.22173128e-02;9.37440422e-01
2.66000000e+00;1.99311730e-02;-1.25324684e-02;9.37758845e-01
2.67000000e+00;1.98047788e-02;-1.28493766e-02;9.38075528e-01
2.68000000e+00;1.96752147e-02;-1.31680241e-02;9.38390486e-01
2.69000000e+00;1.95424632e-02;-1.34883973e-02;9.38703731e-01
2.70000000e+00;1.94065072e-02;-1.38104822e-02;9.39015276e-01
2.71000000e+00;1.92673298e-02;-1.41342645e-02;9.39325133e-01
2.72000000e+00;1.91249140e-02;-1.44597297e-02;9.39633317e-01
2.73000000e+00;1.89792430e-02;-1.47868629e-02;9.39939838e-01
2.74000000e+00;1.88303004e-02;-1.51156489e-02;9.40244709e-01
2.75000000e+00;1.86780697e-02;-1.54460722e-02;9.40547943e-01
2.76000000e+00;1.85225346e-02;-1.57781171e-02;9.40849552e-01
2.77000000e+00;1.83636790e-02;-1.61117674e-02;9.41149547e-01
2.78000000e+00;1.82014869e-02;-1.64470068e-02;9.41447941e-01
2.79000000e+00;1.80359426e-02;-1.67838185e-02;9.41744744e-01
2.80000000e+00;1.78670304e-02;-1.71221854e-02;9.42039970e-01
